epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
49,558.911,0.37791,0.48047,0.37552,0.80434,0,0.93791,0.97202,0.97986,0.90735,0.93791,0.97202,0.97981,0.77313,0.35559,0.49042,0.31823,0.7674,0,0.000580174,0.000580174,0.000580174
50,571.865,0.38129,0.46728,0.36547,0.79957,0,0.94003,0.98195,0.97497,0.90166,0.95566,0.96537,0.97494,0.76122,0.35467,0.48364,0.31676,0.76633,0,0.00056249,0.00056249,0.00056249
51,583.817,0.37534,0.46918,0.35617,0.80003,0,0.94491,0.98449,0.97511,0.90154,0.94491,0.98449,0.97511,0.75922,0.34388,0.49158,0.31773,0.76655,0,0.000544806,0.000544806,0.000544806
52,596.955,0.37964,0.46893,0.35032,0.80056,0,0.95184,0.98283,0.97922,0.91079,0.95195,0.98098,0.97922,0.75554,0.3444,0.47541,0.29595,0.7646,0,0.000527122,0.000527122,0.000527122
53,610.616,0.37348,0.45225,0.33635,0.79094,0,0.94477,0.98087,0.97633,0.90334,0.94477,0.98087,0.97633,0.76898,0.33346,0.48849,0.29227,0.76205,0,0.000509438,0.000509438,0.000509438
54,624.169,0.37061,0.45652,0.33781,0.79581,0,0.94861,0.98196,0.97757,0.90881,0.94861,0.98196,0.97757,0.76088,0.3417,0.48707,0.29682,0.76301,0,0.000491755,0.000491755,0.000491755
55,637.846,0.37573,0.4415,0.33142,0.79825,0,0.95134,0.9753,0.97877,0.90632,0.95138,0.97511,0.9787,0.75012,0.33934,0.48335,0.29379,0.76331,0,0.000474071,0.000474071,0.000474071
56,651.012,0.37152,0.4686,0.33091,0.7935,0,0.95189,0.96963,0.97405,0.89997,0.95189,0.96963,0.97382,0.77105,0.33341,0.49217,0.30618,0.76328,0,0.000456387,0.000456387,0.000456387
57,664.375,0.35954,0.44043,0.32338,0.80112,0,0.95578,0.97029,0.96923,0.89413,0.95358,0.96296,0.96908,0.74646,0.35319,0.49324,0.29813,0.7663,0,0.000438703,0.000438703,0.000438703
58,677.32,0.37169,0.45479,0.32138,0.79411,0,0.96036,0.97717,0.97739,0.90909,0.95947,0.9731,0.97739,0.75084,0.33998,0.47475,0.29069,0.76644,0,0.000421019,0.000421019,0.000421019
59,690.704,0.37321,0.44084,0.32601,0.79928,0,0.95567,0.98166,0.98007,0.90261,0.9564,0.97925,0.98002,0.74477,0.34478,0.47324,0.29576,0.76484,0,0.000403335,0.000403335,0.000403335
60,704.052,0.35638,0.44824,0.32083,0.7921,0,0.94472,0.97548,0.97806,0.90826,0.94201,0.97261,0.97794,0.74711,0.3352,0.46912,0.30507,0.76515,0,0.000385651,0.000385651,0.000385651
61,718.216,0.34842,0.43519,0.32168,0.79731,0,0.94337,0.97417,0.97344,0.90028,0.94106,0.97039,0.97331,0.74849,0.32987,0.47531,0.30509,0.76517,0,0.000367967,0.000367967,0.000367967
62,731.494,0.35831,0.42893,0.31587,0.79711,0,0.95311,0.96694,0.97365,0.90789,0.95311,0.96694,0.97348,0.76267,0.32635,0.46519,0.30061,0.76455,0,0.000350284,0.000350284,0.000350284
63,745.147,0.345,0.44039,0.31795,0.79148,0,0.95031,0.96425,0.97408,0.90081,0.9523,0.96292,0.97393,0.75887,0.32773,0.4708,0.30875,0.76514,0,0.0003326,0.0003326,0.0003326
64,759.015,0.34888,0.41483,0.30888,0.80187,0,0.94604,0.96713,0.97309,0.90527,0.94784,0.96534,0.97304,0.75528,0.33011,0.4647,0.29235,0.76314,0,0.000314916,0.000314916,0.000314916
65,773.414,0.35018,0.45008,0.30551,0.8002,0,0.95431,0.97273,0.97419,0.91094,0.95469,0.97239,0.97417,0.7679,0.32697,0.46646,0.27608,0.76194,0,0.000297232,0.000297232,0.000297232
66,787.173,0.34161,0.45525,0.31014,0.79739,0,0.94264,0.97802,0.97363,0.91385,0.93985,0.97516,0.97353,0.76578,0.32282,0.47043,0.27812,0.76335,0,0.000279548,0.000279548,0.000279548
67,800.892,0.34658,0.43984,0.30352,0.79853,0,0.95577,0.9755,0.9737,0.913,0.95577,0.9755,0.97365,0.76821,0.31849,0.46294,0.27478,0.76239,0,0.000261864,0.000261864,0.000261864
68,814.309,0.34457,0.43002,0.30004,0.80217,0,0.96265,0.95807,0.9741,0.91632,0.96265,0.95807,0.974,0.77368,0.3093,0.46166,0.28321,0.76224,0,0.00024418,0.00024418,0.00024418
69,827.805,0.33462,0.41179,0.28877,0.79708,0,0.94324,0.97161,0.97423,0.91124,0.9405,0.96874,0.97412,0.76094,0.31133,0.47098,0.29053,0.76148,0,0.000226497,0.000226497,0.000226497
70,841.361,0.34642,0.44187,0.29966,0.79421,0,0.92788,0.9785,0.9756,0.91468,0.92516,0.97563,0.9755,0.74567,0.30497,0.4616,0.28958,0.76046,0,0.000208813,0.000208813,0.000208813
