epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,1401.66,0.57279,0.63728,0.62323,0.96978,0,0.9101,0.82962,0.911,0.8028,0.91822,0.81001,0.83126,0.64573,0.52127,0.53105,0.57497,0.99087,0,0.000905557,0.000905557,0.000905557
39,1441.06,0.56006,0.60204,0.5937,0.94619,0,0.89872,0.83825,0.90459,0.80171,0.90766,0.79581,0.81827,0.63635,0.47827,0.53779,0.58226,0.96399,0,0.00089141,0.00089141,0.00089141
40,1480.25,0.55514,0.61529,0.58872,0.956,0,0.90828,0.83549,0.90291,0.80995,0.88935,0.81338,0.81134,0.62914,0.48938,0.52337,0.61238,0.97121,0,0.000877263,0.000877263,0.000877263
41,1520.57,0.5595,0.60689,0.60477,0.94674,0,0.90535,0.83347,0.90747,0.8069,0.93386,0.80226,0.82855,0.63068,0.45846,0.55295,0.53511,0.95579,0,0.000863116,0.000863116,0.000863116
42,1560.63,0.54014,0.586,0.59427,0.94923,0,0.88447,0.84,0.91272,0.82737,0.93314,0.77781,0.82515,0.64185,0.46635,0.54318,0.54427,0.95855,0,0.000848969,0.000848969,0.000848969
43,1600.57,0.53701,0.59053,0.55284,0.93036,0,0.9058,0.83699,0.90131,0.80978,0.90996,0.78716,0.80552,0.62647,0.45037,0.53714,0.58068,0.94859,0,0.000834822,0.000834822,0.000834822
44,1640.45,0.51558,0.60549,0.53087,0.92398,0,0.89671,0.84873,0.90811,0.8185,0.92504,0.79788,0.82343,0.6312,0.45621,0.54362,0.53952,0.95516,0,0.000820675,0.000820675,0.000820675
45,1680.91,0.53,0.61261,0.56885,0.94495,0,0.85809,0.86447,0.90703,0.81402,0.90806,0.78718,0.81563,0.63838,0.45716,0.52295,0.55928,0.94903,0,0.000806528,0.000806528,0.000806528
46,1719.66,0.54571,0.60801,0.56321,0.94482,0,0.83661,0.89256,0.90277,0.79596,0.90983,0.82114,0.81851,0.64288,0.47771,0.53398,0.57185,0.9633,0,0.00079238,0.00079238,0.00079238
47,1758.47,0.50536,0.57788,0.52467,0.93236,0,0.88942,0.85776,0.91063,0.82273,0.92957,0.79008,0.81884,0.6363,0.4664,0.54246,0.57605,0.95541,0,0.000778233,0.000778233,0.000778233
48,1799.06,0.513,0.57377,0.52644,0.92617,0,0.8942,0.86001,0.91505,0.81972,0.92698,0.79924,0.82516,0.638,0.44567,0.52549,0.5671,0.94359,0,0.000764086,0.000764086,0.000764086
49,1839.97,0.5194,0.57411,0.5523,0.94195,0,0.91344,0.81753,0.90856,0.8139,0.90783,0.80876,0.81936,0.63687,0.48356,0.52813,0.63499,0.98454,0,0.000749939,0.000749939,0.000749939
50,1880.91,0.52349,0.61026,0.54131,0.94663,0,0.88924,0.8374,0.88932,0.80418,0.90071,0.79884,0.80314,0.61729,0.44596,0.52929,0.58263,0.95182,0,0.000735792,0.000735792,0.000735792
51,1921.44,0.53189,0.57884,0.54361,0.94431,0,0.89004,0.83599,0.90806,0.81298,0.91325,0.79498,0.81941,0.63952,0.46058,0.53237,0.57857,0.95709,0,0.000721645,0.000721645,0.000721645
52,1960.5,0.51165,0.60072,0.51189,0.92388,0,0.88452,0.85457,0.90308,0.80849,0.89282,0.80997,0.81521,0.64464,0.46432,0.53705,0.58888,0.96251,0,0.000707498,0.000707498,0.000707498
53,1999.91,0.506,0.55605,0.50289,0.92419,0,0.88537,0.88017,0.90337,0.81475,0.92201,0.78171,0.81927,0.63701,0.43865,0.53159,0.54881,0.93796,0,0.000693351,0.000693351,0.000693351
54,2037.47,0.48754,0.56172,0.4853,0.90859,0,0.88938,0.85819,0.90627,0.82516,0.88316,0.79189,0.81415,0.63044,0.44842,0.52138,0.58107,0.9537,0,0.000679204,0.000679204,0.000679204
55,2075.88,0.49849,0.57185,0.50453,0.91852,0,0.87315,0.86255,0.90548,0.8277,0.90637,0.77618,0.80198,0.62378,0.44176,0.52316,0.54372,0.94213,0,0.000665057,0.000665057,0.000665057
56,2115.48,0.48607,0.56992,0.48761,0.91428,0,0.85677,0.8905,0.91043,0.82433,0.8968,0.79403,0.81663,0.63188,0.44779,0.51598,0.53997,0.95006,0,0.000650909,0.000650909,0.000650909
57,2152.45,0.51162,0.59816,0.5081,0.92262,0,0.87316,0.88651,0.90738,0.8226,0.92188,0.78081,0.81644,0.63469,0.45159,0.5204,0.5383,0.95021,0,0.000636762,0.000636762,0.000636762
58,2192.2,0.49311,0.56576,0.49731,0.91063,0,0.88219,0.86148,0.90314,0.81858,0.87866,0.79369,0.80224,0.63281,0.45221,0.52138,0.55026,0.95491,0,0.000622615,0.000622615,0.000622615
59,2231.3,0.50829,0.59133,0.52283,0.92382,0,0.89563,0.85691,0.90759,0.8208,0.87944,0.81843,0.81923,0.63341,0.42641,0.52871,0.53832,0.93567,0,0.000608468,0.000608468,0.000608468
60,2270.3,0.48384,0.54657,0.482,0.91425,0,0.84473,0.8751,0.89759,0.80099,0.8711,0.79087,0.79455,0.62697,0.45192,0.52185,0.55219,0.97186,0,0.000594321,0.000594321,0.000594321
61,2307.8,0.48067,0.54044,0.48375,0.91002,0,0.90625,0.88241,0.90349,0.8127,0.88505,0.79845,0.80434,0.62444,0.45162,0.51496,0.55601,0.96051,0,0.000580174,0.000580174,0.000580174
62,2345.66,0.475,0.54751,0.45868,0.90503,0,0.89631,0.87543,0.90965,0.81332,0.91428,0.77512,0.80795,0.6309,0.45642,0.52737,0.5466,0.94562,0,0.000566027,0.000566027,0.000566027
