frame,t_s,kind,tid,x_cm,y_cm
220,7.333,oscuro,8,-2.0,131.0
221,7.367,verde,3,77.5,56.0
221,7.367,oscuro,7,0.0,247.0
221,7.367,oscuro,8,-2.0,131.0
222,7.4,verde,3,78.0,55.5
222,7.4,oscuro,7,0.0,250.5
223,7.433,verde,3,78.0,54.5
223,7.433,oscuro,7,-1.0,251.5
224,7.467,verde,3,78.0,54.5
224,7.467,oscuro,7,-1.0,251.5
225,7.5,verde,3,78.5,53.5
225,7.5,oscuro,7,-1.0,252.5
226,7.533,verde,3,78.5,53.5
226,7.533,oscuro,7,-0.5,253.0
227,7.567,verde,3,78.5,53.5
227,7.567,oscuro,7,-0.5,253.0
228,7.6,verde,3,78.0,53.5
228,7.6,oscuro,7,0.0,252.5
229,7.633,verde,3,77.0,56.0
229,7.633,verde,7,1.5,251.0
230,7.667,verde,3,77.0,56.0
230,7.667,verde,7,1.5,251.0
231,7.7,verde,3,76.5,57.0
231,7.7,verde,7,3.0,251.5
232,7.733,verde,3,75.5,60.0
232,7.733,oscuro,7,4.0,248.0
233,7.767,verde,3,75.5,60.0
233,7.767,oscuro,7,4.0,248.0
234,7.8,verde,3,75.0,60.5
234,7.8,oscuro,7,4.5,248.0
235,7.833,verde,3,75.0,60.0
235,7.833,oscuro,7,4.5,248.0
236,7.867,verde,3,75.0,60.0
236,7.867,oscuro,7,4.5,248.0
237,7.9,verde,3,75.0,59.0
237,7.9,oscuro,7,4.5,248.5
238,7.933,verde,3,75.5,58.0
238,7.933,oscuro,7,4.0,249.0
239,7.967,verde,3,75.5,58.0
239,7.967,oscuro,7,4.0,249.0
240,8.0,verde,3,75.5,57.5
240,8.0,verde,7,3.5,250.5
241,8.033,verde,3,76.5,56.5
241,8.033,oscuro,7,2.5,247.5
242,8.067,verde,3,76.5,56.5
242,8.067,oscuro,7,2.5,247.5
243,8.1,verde,3,76.5,56.0
243,8.1,oscuro,7,1.5,246.5
244,8.133,verde,3,76.5,54.5
244,8.133,oscuro,7,1.0,243.0
245,8.167,verde,3,76.5,54.5
245,8.167,oscuro,7,1.0,243.0
246,8.2,verde,3,77.0,54.0
246,8.2,oscuro,7,0.5,241.0
247,8.233,verde,3,77.5,52.5
247,8.233,oscuro,7,0.0,237.0
248,8.267,verde,3,77.5,52.5
248,8.267,oscuro,7,0.0,237.0
249,8.3,verde,3,77.5,52.0
249,8.3,oscuro,7,-0.5,235.5
250,8.333,verde,3,77.0,53.0
250,8.333,oscuro,7,-1.0,234.0
251,8.367,verde,3,77.0,53.0
251,8.367,oscuro,7,-1.0,234.0
252,8.4,verde,3,76.5,53.5
252,8.4,oscuro,7,-1.0,234.0
253,8.433,verde,3,76.5,54.0
253,8.433,oscuro,7,-1.0,234.0
254,8.467,verde,3,76.5,54.0
254,8.467,oscuro,7,-1.0,234.0
255,8.5,verde,3,76.5,53.5
255,8.5,oscuro,7,-0.5,233.5
256,8.533,verde,3,75.0,55.5
256,8.533,oscuro,7,0.0,231.5
257,8.567,verde,3,75.0,55.5
257,8.567,oscuro,7,0.0,231.5
258,8.6,verde,3,74.5,56.5
258,8.6,oscuro,7,0.5,231.0
259,8.633,verde,3,73.5,59.0
259,8.633,oscuro,7,0.5,231.5
260,8.667,verde,3,73.5,59.0
260,8.667,oscuro,7,0.5,231.5
261,8.7,verde,3,73.5,60.5
261,8.7,oscuro,7,0.0,232.0
262,8.733,verde,3,72.5,62.5
262,8.733,oscuro,7,-0.5,233.5
263,8.767,verde,3,72.5,62.5
263,8.767,oscuro,7,-0.5,233.5
264,8.8,verde,3,72.5,62.5
264,8.8,oscuro,7,-1.0,234.0
265,8.833,verde,3,72.5,61.5
265,8.833,oscuro,7,-1.5,233.5
266,8.867,verde,3,72.5,61.5
266,8.867,oscuro,7,-1.5,233.5
267,8.9,verde,3,72.5,60.5
267,8.9,oscuro,7,-1.5,234.0
268,8.933,verde,3,73.0,59.5
268,8.933,oscuro,7,-1.5,234.0
269,8.967,verde,3,73.0,59.5
269,8.967,oscuro,7,-1.5,234.0
270,9.0,verde,3,73.0,59.0
270,9.0,oscuro,7,-1.0,233.0
271,9.033,verde,3,73.5,57.5
271,9.033,oscuro,7,-0.5,232.5
272,9.067,verde,3,73.5,57.5
272,9.067,oscuro,7,-0.5,232.5
273,9.1,verde,3,74.0,56.5
273,9.1,verde,7,0.0,227.5
274,9.133,verde,3,74.5,55.5
274,9.133,oscuro,7,0.0,228.5
275,9.167,verde,3,74.5,55.5
275,9.167,oscuro,7,0.0,228.5
276,9.2,verde,3,75.0,55.0
276,9.2,oscuro,7,0.5,228.0
277,9.233,verde,3,75.0,54.0
277,9.233,oscuro,7,0.5,227.5
278,9.267,verde,3,75.0,54.0
278,9.267,oscuro,7,0.5,227.5
279,9.3,verde,3,75.0,55.0
279,9.3,oscuro,7,0.0,227.5
280,9.333,verde,3,74.0,56.0
280,9.333,oscuro,7,0.0,228.0
281,9.367,verde,3,74.0,56.0
281,9.367,oscuro,7,0.0,228.0
282,9.4,verde,3,73.5,57.0
282,9.4,oscuro,7,0.0,229.0
283,9.433,verde,3,73.0,60.0
283,9.433,oscuro,7,-1.0,231.5
284,9.467,verde,3,73.0,60.0
284,9.467,oscuro,7,-1.0,231.5
285,9.5,verde,3,72.5,61.5
285,9.5,oscuro,7,-1.5,231.5
286,9.533,verde,3,72.5,62.5
286,9.533,oscuro,7,-1.5,231.5
287,9.567,verde,3,72.5,62.5
287,9.567,oscuro,7,-1.5,231.5
288,9.6,verde,3,72.5,62.5
288,9.6,oscuro,7,-1.5,231.5
289,9.633,verde,3,73.0,61.0
289,9.633,oscuro,7,-0.5,231.0
290,9.667,verde,3,73.0,61.0
290,9.667,oscuro,7,-0.5,231.0
291,9.7,verde,3,73.0,60.5
291,9.7,oscuro,7,0.0,230.0
292,9.733,verde,3,73.0,59.5
292,9.733,oscuro,7,1.0,229.5
293,9.767,verde,3,73.0,59.5
293,9.767,oscuro,9,-2.5,165.0
293,9.767,oscuro,7,1.0,229.5
294,9.8,verde,3,73.5,59.0
294,9.8,oscuro,7,1.0,230.0
294,9.8,oscuro,9,-2.5,165.5
295,9.833,verde,3,73.5,57.0
295,9.833,verde,9,-2.0,165.0
295,9.833,oscuro,7,0.5,232.0
296,9.867,verde,3,73.5,57.0
296,9.867,verde,9,-2.0,165.0
296,9.867,oscuro,7,0.5,232.0
297,9.9,verde,3,74.0,57.0
297,9.9,verde,9,-2.5,165.0
297,9.9,oscuro,7,0.0,233.0
298,9.933,verde,3,74.5,55.5
298,9.933,oscuro,7,-1.0,238.0
298,9.933,verde,9,-2.5,165.5
299,9.967,verde,3,74.5,55.5
299,9.967,oscuro,7,-1.0,238.0
299,9.967,verde,9,-2.5,165.5
300,10.0,verde,3,74.5,54.5
300,10.0,oscuro,7,-1.0,239.5
300,10.0,verde,9,-2.5,165.5
301,10.033,verde,3,75.0,53.5
301,10.033,oscuro,7,-1.5,241.0
301,10.033,verde,9,-2.5,166.5
302,10.067,verde,3,75.0,53.5
302,10.067,oscuro,7,-1.5,241.0
302,10.067,verde,9,-2.5,166.5
303,10.1,verde,3,75.5,53.0
303,10.1,oscuro,7,-1.5,240.5
303,10.1,oscuro,9,-2.5,167.5
304,10.133,verde,3,74.5,54.0
304,10.133,verde,9,-2.5,167.5
304,10.133,oscuro,7,-0.5,239.0
305,10.167,verde,3,74.5,54.0
305,10.167,verde,9,-2.5,167.5
305,10.167,oscuro,7,-0.5,239.0
306,10.2,verde,3,74.0,55.0
306,10.2,verde,9,-2.0,167.5
306,10.2,oscuro,7,0.0,237.0
